step,value
100.0,0.04362185113132
200.0,0.00022723550500813872
300.0,9.955036512110382e-05
400.0,6.231663064681925e-05
500.0,5.0830183681682684e-05
600.0,4.294969949114602e-05
700.0,3.770529292523861e-05
800.0,3.3084712413256057e-05
900.0,2.9784700927848462e-05
1000.0,2.7971672352578025e-05
1100.0,2.630332892294973e-05
1200.0,2.447872975608334e-05
1300.0,2.2470036128652282e-05
1400.0,2.1408979591797106e-05
1500.0,1.947511736943852e-05
1600.0,1.9565851289371494e-05
1700.0,1.8327493307879195e-05
1800.0,1.8243860722577665e-05
1900.0,1.775829787220573e-05
2000.0,1.744397832226241e-05
2100.0,1.6888001482584514e-05
2200.0,1.666094067331869e-05
2300.0,1.5402860299218446e-05
2400.0,1.4648006526840618e-05
2500.0,1.4519337128149346e-05
2600.0,1.4307488072518026e-05
2700.0,1.4946092960599344e-05
2800.0,1.3127487363817636e-05
2900.0,1.5410166270157788e-05
3000.0,1.318934573646402e-05
3100.0,1.4774853752896888e-05
3200.0,1.248928901986801e-05
3300.0,1.3255036265036324e-05
3400.0,1.229708186656353e-05
3500.0,1.228255860041827e-05
3600.0,1.2331393918429967e-05
3700.0,1.2173673439974664e-05
3800.0,1.185370456369128e-05
3900.0,1.1905533938261215e-05
4000.0,1.1605089639488142e-05
4100.0,1.1700159120664466e-05
4200.0,1.1324178558425047e-05
4300.0,1.1536094916664297e-05
4400.0,1.1157051176269306e-05
4500.0,1.1070727850892581e-05
4600.0,1.0736504918895662e-05
4700.0,1.1631285815383308e-05
4800.0,1.1145537428092211e-05
4900.0,1.188893111248035e-05
5000.0,1.062625187842059e-05
5100.0,1.0993052910635015e-05
5200.0,1.0596167157927994e-05
5300.0,1.0673009001038736e-05
5400.0,1.0567321169219213e-05
5500.0,1.042056373989908e-05
5600.0,1.0929760719591286e-05
5700.0,1.0229842246189946e-05
5800.0,9.907151252264157e-06
5900.0,1.0424007086839993e-05
6000.0,9.780317668628413e-06
6100.0,9.526099802315002e-06
6200.0,9.810707979340805e-06
6300.0,9.060515822056914e-06
6400.0,9.869871519185835e-06
6500.0,9.528051577945007e-06
6600.0,8.762132438278059e-06
6700.0,8.860638445185032e-06
6800.0,8.459292530460516e-06
6900.0,8.583032467868179e-06
7000.0,8.7036987679312e-06
7100.0,8.205635822378099e-06
7200.0,7.637729595444398e-06
7300.0,6.981328397159814e-06
7400.0,7.272867605934152e-06
7500.0,7.216895482997643e-06
7600.0,8.120857728499686e-06
7700.0,6.730144150424167e-06
7800.0,7.4003842200909276e-06
7900.0,6.603634801649605e-06
8000.0,6.495509296655655e-06
