step,value
100.0,0.013375645037740469
200.0,0.0036827701842412353
300.0,0.0011986662284471095
400.0,0.00041928850987460464
500.0,0.0002859775995602831
600.0,0.00020601105643436313
700.0,0.00013777380081592128
800.0,8.953927681432106e-05
900.0,7.723260932834819e-05
1000.0,5.7683999330038205e-05
1100.0,5.525880624190904e-05
1200.0,3.5976119761471637e-05
1300.0,2.863352983695222e-05
1400.0,2.6249103029840626e-05
1500.0,2.4481914806528948e-05
1600.0,2.298501567565836e-05
1700.0,1.8368728888162877e-05
1800.0,1.5838861145311967e-05
1900.0,1.2464212431950727e-05
2000.0,1.1536408237589058e-05
2100.0,1.1048813576053362e-05
2200.0,1.002046201392659e-05
2300.0,1.0685751931305276e-05
2400.0,1.1099246421508724e-05
2500.0,1.1071310836996417e-05
2600.0,9.999209851230262e-06
2700.0,1.0035331342805875e-05
2800.0,9.619310276320903e-06
2900.0,9.135275831795298e-06
3000.0,9.399014743394218e-06
3100.0,8.525882094545523e-06
3200.0,8.146981599566061e-06
3300.0,6.712395361319068e-06
3400.0,6.512033451144816e-06
3500.0,6.378395937645109e-06
3600.0,6.313073299679672e-06
3700.0,6.439702474381193e-06
3800.0,6.098110361563158e-06
3900.0,6.290727924351813e-06
4000.0,6.245399617910152e-06
4100.0,6.122318836787599e-06
4200.0,5.523719664779492e-06
4300.0,5.227768042459502e-06
4400.0,5.1718125178013e-06
4500.0,5.815294571220875e-06
4600.0,5.4206234381126706e-06
4700.0,5.2598559250327526e-06
4800.0,5.91827483731322e-06
4900.0,5.530823500521365e-06
5000.0,4.982128530173213e-06
5100.0,4.356117869974696e-06
5200.0,4.265102461431525e-06
5300.0,4.080194457856123e-06
5400.0,3.906568281308864e-06
5500.0,3.6327990073914407e-06
5600.0,3.7123412539585843e-06
5700.0,3.361545054758608e-06
5800.0,3.6285873648012057e-06
5900.0,3.391101245142636e-06
6000.0,3.4137405009460053e-06
6100.0,3.3701946904329816e-06
6200.0,3.2470571795784053e-06
6300.0,3.0320381938508945e-06
6400.0,3.092860310971446e-06
6500.0,3.085112098233367e-06
6600.0,3.10602320041653e-06
6700.0,3.0430265951508773e-06
6800.0,2.955445552288438e-06
6900.0,3.043634819732688e-06
7000.0,2.837269903466222e-06
7100.0,2.692252337510581e-06
7200.0,2.828760443662759e-06
7300.0,2.615120592963649e-06
7400.0,2.7632790988718625e-06
7500.0,2.743429490692506e-06
7600.0,2.5991649863499333e-06
7700.0,2.5815355684244423e-06
7800.0,2.582879687906825e-06
7900.0,2.5110914521064842e-06
8000.0,2.5007082058436936e-06
