step,value
100.0,0.00633335392922163
200.0,0.0016372182290069759
300.0,0.0005211420357227325
400.0,0.00026195526879746467
500.0,0.00017433302127756178
600.0,0.00011786808317992836
700.0,8.381847146665677e-05
800.0,7.606361759826541e-05
900.0,6.572436177521013e-05
1000.0,5.510723349289037e-05
1100.0,5.1248107411083765e-05
1200.0,4.656516102841124e-05
1300.0,4.1939871152862906e-05
1400.0,3.982350790465716e-05
1500.0,3.371084494574461e-05
1600.0,3.099203604506329e-05
1700.0,2.972520906041609e-05
1800.0,2.7279741516395006e-05
1900.0,2.482002309989184e-05
2000.0,2.2865921891934704e-05
2100.0,2.1132107576704584e-05
2200.0,1.911467370518949e-05
2300.0,1.6809864973765798e-05
2400.0,1.4558334441971965e-05
2500.0,1.4174484476825455e-05
2600.0,1.2553894066513749e-05
2700.0,1.169518009191961e-05
2800.0,1.0466285402799258e-05
2900.0,9.388271791976877e-06
3000.0,8.468040050502168e-06
3100.0,8.076402991719078e-06
3200.0,8.347926268470474e-06
3300.0,7.69078155826719e-06
3400.0,7.5729997206508415e-06
3500.0,7.726287549303379e-06
3600.0,7.541962759205489e-06
3700.0,7.407806606352096e-06
3800.0,7.174957545430516e-06
3900.0,6.906669341333327e-06
4000.0,6.8477770582831e-06
4100.0,6.829517133155605e-06
4200.0,6.462787951022619e-06
4300.0,6.5155716129083885e-06
4400.0,6.558423820024473e-06
4500.0,6.784295464967727e-06
4600.0,6.49971843813546e-06
4700.0,6.494907665910432e-06
4800.0,6.552435706908e-06
4900.0,6.792408839828568e-06
5000.0,7.175524842750747e-06
5100.0,7.0561836764682084e-06
5200.0,6.498972652480006e-06
5300.0,6.776578175049508e-06
5400.0,6.39821837467025e-06
5500.0,6.283427865128033e-06
5600.0,6.0895260958204744e-06
5700.0,5.540089659916703e-06
5800.0,5.71703913010424e-06
5900.0,5.895587946724845e-06
6000.0,5.6512405990361e-06
6100.0,5.915228712183307e-06
6200.0,5.987518079564325e-06
6300.0,6.426030267903116e-06
6400.0,6.484318873845041e-06
6500.0,5.889399517400307e-06
6600.0,6.048312343409634e-06
6700.0,6.180800028232625e-06
6800.0,6.244015821721405e-06
6900.0,5.53172390027612e-06
7000.0,5.7541865317034535e-06
7100.0,5.945291832176736e-06
7200.0,5.433003479993204e-06
7300.0,5.827375161970849e-06
7400.0,5.291221214065445e-06
7500.0,4.822327582587604e-06
7600.0,5.435429557110183e-06
7700.0,4.818385150429094e-06
7800.0,4.244702950018109e-06
7900.0,4.105584139324492e-06
8000.0,4.23786786996061e-06
