step,value
100.0,0.038560640066862106
200.0,0.01124118734151125
300.0,0.004547653021290898
400.0,0.0023111217888072133
500.0,0.0013418648159131408
600.0,0.0007762000022921711
700.0,0.00048804807011038065
800.0,0.00032977138471323997
900.0,0.00022002949845045805
1000.0,0.0001590508472872898
1100.0,0.0001242442667717114
1200.0,0.00010042404755949974
1300.0,8.672055628267117e-05
1400.0,6.697224307572469e-05
1500.0,5.930939732934348e-05
1600.0,4.8310505007975735e-05
1700.0,4.323837856645696e-05
1800.0,3.883995123032946e-05
1900.0,3.879489304381423e-05
2000.0,3.5038034184253775e-05
2100.0,3.280368764535524e-05
2200.0,3.072423714911565e-05
2300.0,2.770982428046409e-05
2400.0,2.6901050659944303e-05
2500.0,2.3761834199831355e-05
2600.0,2.3137888092605863e-05
2700.0,2.1051649127912242e-05
2800.0,2.0767724890902173e-05
2900.0,2.020189549511997e-05
3000.0,1.797659024305176e-05
3100.0,1.7381652469339315e-05
3200.0,1.741645155561855e-05
3300.0,1.7429565559723414e-05
3400.0,1.6884180695342366e-05
3500.0,1.650791455176659e-05
3600.0,1.616508416191209e-05
3700.0,1.5374051145045087e-05
3800.0,1.4420150364458095e-05
3900.0,1.4631051726610167e-05
4000.0,1.3757648048340343e-05
4100.0,1.370336167383357e-05
4200.0,1.3524823771149386e-05
4300.0,1.244874692929443e-05
4400.0,1.1451174032117706e-05
4500.0,1.0647670023899991e-05
4600.0,1.0031505553342868e-05
4700.0,9.717913599160966e-06
4800.0,9.636559298087377e-06
4900.0,9.683349162514787e-06
5000.0,9.485365353611996e-06
5100.0,9.693863376014633e-06
5200.0,9.649797902966384e-06
5300.0,9.637306447984884e-06
5400.0,9.58771397563396e-06
5500.0,1.0161075351788895e-05
5600.0,1.03299030342896e-05
5700.0,1.0086342626891565e-05
5800.0,1.0156757070944877e-05
5900.0,1.007046330414596e-05
6000.0,1.0275322438246803e-05
6100.0,1.0603678674669936e-05
6200.0,1.0518152066651965e-05
6300.0,1.0705326076276833e-05
6400.0,1.0959779956465354e-05
6500.0,1.1285464097454678e-05
6600.0,1.0977513738907874e-05
6700.0,1.0925881269940874e-05
6800.0,1.0607878266455373e-05
6900.0,1.0672156349755824e-05
7000.0,1.0666642538126325e-05
7100.0,1.0954041954391869e-05
7200.0,1.1571009508770658e-05
7300.0,1.2046371011820156e-05
7400.0,1.2338748547335854e-05
7500.0,1.2634568975045113e-05
7600.0,1.2812336535716895e-05
7700.0,1.2927219813718693e-05
7800.0,1.347887700831052e-05
7900.0,1.3792609934171196e-05
8000.0,1.362044213237823e-05
