step,value
100.0,0.008380163460969925
200.0,0.0025903426576405764
300.0,0.0008982733124867082
400.0,0.00039357713831122965
500.0,0.00020396782929310575
600.0,0.00014036129141459242
700.0,0.0001156275684479624
800.0,8.67473536345642e-05
900.0,6.765317084500566e-05
1000.0,5.6579465308459476e-05
1100.0,5.1248107411083765e-05
1200.0,4.178800372756086e-05
1300.0,2.9413668016786687e-05
1400.0,2.6346329832449555e-05
1500.0,2.5954517695936374e-05
1600.0,2.4336274691449944e-05
1700.0,2.2038971110305283e-05
1800.0,2.033735472650733e-05
1900.0,1.8728622308117338e-05
2000.0,1.6943185983109288e-05
2100.0,1.551643254060764e-05
2200.0,1.450913578082691e-05
2300.0,1.3717867659579497e-05
2400.0,1.2477632481022738e-05
2500.0,1.1812782304332359e-05
2600.0,1.1553786862350535e-05
2700.0,1.0306570857210318e-05
2800.0,1.0129172096640104e-05
2900.0,8.407670520682586e-06
3000.0,8.338487077708123e-06
3100.0,7.025237891866709e-06
3200.0,6.926083869984723e-06
3300.0,7.060658845148282e-06
3400.0,7.079691613398609e-06
3500.0,6.633451903326204e-06
3600.0,6.478635668827337e-06
3700.0,6.350687726808246e-06
3800.0,6.123200137153617e-06
3900.0,5.6762632993923035e-06
4000.0,5.6839633089111885e-06
4100.0,5.4661240938003175e-06
4200.0,5.4956014992058044e-06
4300.0,4.978208153261221e-06
4400.0,4.993518359697191e-06
4500.0,4.54731639365491e-06
4600.0,4.603423121807282e-06
4700.0,4.417102218212676e-06
4800.0,4.099514171684859e-06
4900.0,4.007715915577137e-06
5000.0,3.6428859857551288e-06
5100.0,3.391852146705787e-06
5200.0,3.3918296367119183e-06
5300.0,3.0128925345707103e-06
5400.0,2.7451809501144453e-06
5500.0,2.7737418122342206e-06
5600.0,2.5927104161382886e-06
5700.0,2.8091436661270563e-06
5800.0,2.447433075758454e-06
5900.0,2.231081111858657e-06
6000.0,2.3343555994870258e-06
6100.0,2.285814048264001e-06
6200.0,2.2762986873203772e-06
6300.0,2.564977421570802e-06
6400.0,2.4852588467183523e-06
6500.0,2.573130814198521e-06
6600.0,2.525295826671936e-06
6700.0,2.506219061615411e-06
6800.0,2.4690516511327587e-06
6900.0,2.4066315518211923e-06
7000.0,2.2829556201031664e-06
7100.0,2.3438681182597065e-06
7200.0,2.252385570500337e-06
7300.0,2.3572450800202205e-06
7400.0,2.2967540189711144e-06
7500.0,2.2260301193455234e-06
7600.0,2.2054171040508663e-06
7700.0,2.208543378401373e-06
7800.0,2.0404357883307966e-06
7900.0,2.021155978582101e-06
8000.0,1.980897650355473e-06
