step,value
100.0,0.0026657687267288566
200.0,0.0005336369213182479
300.0,0.00024393279454670846
400.0,0.00012962894106749445
500.0,7.957121852086857e-05
600.0,6.855665924376808e-05
700.0,5.395961306930985e-05
800.0,4.071087096235715e-05
900.0,3.147271854686551e-05
1000.0,2.1913278942520265e-05
1100.0,1.7736751033226028e-05
1200.0,1.535547789899283e-05
1300.0,1.2732422874250915e-05
1400.0,1.188161058962578e-05
1500.0,1.0686424957384588e-05
1600.0,9.807256446947576e-06
1700.0,8.91555828275159e-06
1800.0,8.297077329189051e-06
1900.0,7.867748536227737e-06
2000.0,7.262015060405247e-06
2100.0,7.167246849348885e-06
2200.0,6.237987690838054e-06
2300.0,6.416338464987348e-06
2400.0,6.5502076722623315e-06
2500.0,6.476478574768407e-06
2600.0,6.284671371759032e-06
2700.0,5.974802661512513e-06
2800.0,5.63869275538309e-06
2900.0,5.385513077271753e-06
3000.0,5.104825049784267e-06
3100.0,4.796604571311036e-06
3200.0,4.5988865622348385e-06
3300.0,4.495041139307432e-06
3400.0,4.423482096171938e-06
3500.0,4.339458882895997e-06
3600.0,4.093732741239364e-06
3700.0,4.371373051981209e-06
3800.0,4.108796474611154e-06
3900.0,3.917689582522144e-06
4000.0,3.708806843860657e-06
4100.0,3.781500709010288e-06
4200.0,3.770356784116302e-06
4300.0,3.7728979123130557e-06
4400.0,3.7339698337746086e-06
4500.0,3.6607291349355364e-06
4600.0,3.658096488834417e-06
4700.0,3.6208307392371353e-06
4800.0,3.4935221719933907e-06
4900.0,3.3694951753204805e-06
5000.0,3.252572014389443e-06
5100.0,3.311969521746505e-06
5200.0,3.2432693615191965e-06
5300.0,3.1596410963175003e-06
5400.0,3.2213249596679816e-06
5500.0,3.0341801675604074e-06
5600.0,3.0429500839090906e-06
5700.0,3.0976315201769467e-06
5800.0,2.880872784771782e-06
5900.0,2.80992139778391e-06
6000.0,2.965137696264719e-06
6100.0,3.01838531413523e-06
6200.0,3.3011199320753803e-06
6300.0,3.055053184652934e-06
6400.0,3.1849150445850682e-06
6500.0,2.9038553748250706e-06
6600.0,3.0930841603549197e-06
6700.0,3.057736535083677e-06
6800.0,3.083233877987368e-06
6900.0,3.0122926091280533e-06
7000.0,3.013060450030025e-06
7100.0,2.9899176752223866e-06
7200.0,2.971353296743473e-06
7300.0,2.7861071885126876e-06
7400.0,2.785752144518483e-06
7500.0,2.836974658748659e-06
7600.0,2.7410659413362737e-06
7700.0,2.648610347932845e-06
7800.0,2.6316328103348496e-06
7900.0,2.5179863314406248e-06
8000.0,2.5007082058436936e-06
