step,value
100.0,0.00834957417100668
200.0,0.002169781131669879
300.0,0.0005769144336227328
400.0,0.00024166078947018832
500.0,0.00011050840112147853
600.0,6.736096838722005e-05
700.0,4.551478741632309e-05
800.0,3.9838390875956975e-05
900.0,3.1955825761542656e-05
1000.0,2.2703867216478102e-05
1100.0,1.7230106095666997e-05
1200.0,1.5698660718044266e-05
1300.0,1.3880210644856561e-05
1400.0,1.175596935354406e-05
1500.0,1.073553949026973e-05
1600.0,9.874866009340622e-06
1700.0,8.856540262058843e-06
1800.0,8.392971722059883e-06
1900.0,7.5200791798124555e-06
2000.0,6.817574103479274e-06
2100.0,6.098987114455667e-06
2200.0,5.998932920192601e-06
2300.0,6.128925406301278e-06
2400.0,5.851136620549369e-06
2500.0,5.686180884367786e-06
2600.0,5.5725151923979865e-06
2700.0,5.218269961915212e-06
2800.0,4.9841082727652974e-06
2900.0,4.9286365992884384e-06
3000.0,4.848445087191067e-06
3100.0,4.586190698319115e-06
3200.0,4.356967338026152e-06
3300.0,4.063586629854399e-06
3400.0,3.822462986136088e-06
3500.0,3.890079142365721e-06
3600.0,3.5101369348922162e-06
3700.0,3.6736563515660237e-06
3800.0,3.714480385497154e-06
3900.0,3.825541398327914e-06
4000.0,3.4116291089958395e-06
4100.0,3.529199943841377e-06
4200.0,3.263393409724813e-06
4300.0,3.548646191120497e-06
4400.0,3.283874548287713e-06
4500.0,3.090095447078056e-06
4600.0,3.1267276199287153e-06
4700.0,3.425901013542898e-06
4800.0,3.2167507697522524e-06
4900.0,3.2402607530457317e-06
5000.0,2.6429891022416996e-06
5100.0,2.5131504344244604e-06
5200.0,2.775221560114005e-06
5300.0,2.8011498898194986e-06
5400.0,2.5964479846152244e-06
5500.0,2.3906252408778528e-06
5600.0,2.5101961682594265e-06
5700.0,2.3708111029918655e-06
5800.0,2.380235514465312e-06
5900.0,2.264963768539019e-06
6000.0,2.3256710619534715e-06
6100.0,2.404554606982856e-06
6200.0,2.5098364631048753e-06
6300.0,2.1119218445164734e-06
6400.0,2.42024384533579e-06
6500.0,2.2322069526126143e-06
6600.0,2.0500324353633914e-06
6700.0,2.319170675946225e-06
6800.0,2.250613192700257e-06
6900.0,2.319646796422603e-06
7000.0,2.1907209202254307e-06
7100.0,2.303727228536445e-06
7200.0,2.1341717229006463e-06
7300.0,2.1972730337438406e-06
7400.0,2.1796314513267134e-06
7500.0,2.182505454584316e-06
7600.0,2.136474222425022e-06
7700.0,2.252917738587712e-06
7800.0,2.1503549305634806e-06
7900.0,2.0134605165367248e-06
8000.0,2.088440851366613e-06
