step,value
100.0,0.017055570147931576
200.0,0.006092516705393791
300.0,0.002270548604428768
400.0,0.0012244137469679117
500.0,0.0007197338272817433
600.0,0.0004161160031799227
700.0,0.0002581626031314954
800.0,0.00015870476636337116
900.0,0.00011254594937781803
1000.0,8.55403377499897e-05
1100.0,6.575804218300618e-05
1200.0,4.7766130592208356e-05
1300.0,4.138901385886129e-05
1400.0,2.9777747840853408e-05
1500.0,2.0878504983556923e-05
1600.0,1.501132237535785e-05
1700.0,1.2422393865563208e-05
1800.0,1.0500701137061696e-05
1900.0,8.99280439625727e-06
2000.0,8.26052155389334e-06
2100.0,7.834727966837818e-06
2200.0,7.364481689364766e-06
2300.0,7.451264309565886e-06
2400.0,7.817156529199565e-06
2500.0,7.951520274218637e-06
2600.0,7.141479954952956e-06
2700.0,6.741358674844378e-06
2800.0,6.118926421549986e-06
2900.0,4.955172471454716e-06
3000.0,5.574319175138953e-06
3100.0,4.9672114528220845e-06
3200.0,4.647289642889518e-06
3300.0,4.626880127034383e-06
3400.0,4.256011607139953e-06
3500.0,4.127837428313796e-06
3600.0,3.6972011230318458e-06
3700.0,4.212291742078378e-06
3800.0,4.223858923069201e-06
3900.0,4.120236098970054e-06
4000.0,3.8074126678111497e-06
4100.0,4.239985173626337e-06
4200.0,3.961870561397518e-06
4300.0,3.965414180129301e-06
4400.0,3.753414716811676e-06
4500.0,3.881572411046363e-06
4600.0,3.7919139685982373e-06
4700.0,3.9745498270349344e-06
4800.0,3.7878847933825455e-06
4900.0,3.463993266450416e-06
5000.0,3.2542928920520353e-06
5100.0,3.082939429077669e-06
5200.0,3.1871509236225393e-06
5300.0,3.0607009193772683e-06
5400.0,2.9459733923431486e-06
5500.0,2.758803816504951e-06
5600.0,2.711587967496598e-06
5700.0,2.4593286980234552e-06
5800.0,2.601725668682775e-06
5900.0,2.634996462802519e-06
6000.0,2.533956489969569e-06
6100.0,2.343463620491093e-06
6200.0,2.546874270592525e-06
6300.0,2.316278028047236e-06
6400.0,2.4578985176049173e-06
6500.0,2.559342192398617e-06
6600.0,2.33485536682565e-06
6700.0,2.602574227239529e-06
6800.0,2.4164493197531556e-06
6900.0,2.443907419547031e-06
7000.0,2.393902377662016e-06
7100.0,2.474415282449627e-06
7200.0,2.5028040226970916e-06
7300.0,2.532980829528242e-06
7400.0,2.4619230316602625e-06
7500.0,2.663759687493439e-06
7600.0,2.5350751684527495e-06
7700.0,2.5091723045989056e-06
7800.0,2.5417501774427365e-06
7900.0,2.411809873592574e-06
8000.0,2.3448976662621135e-06
