step,value
100.0,0.00029021066438872367
200.0,6.408399713109247e-05
300.0,4.053683551319409e-05
400.0,3.5381224734010175e-05
500.0,2.5143491257040296e-05
600.0,2.1163586097827647e-05
700.0,2.0648918507504277e-05
800.0,1.6667334421072155e-05
900.0,1.5279243143595522e-05
1000.0,1.3983573353471002e-05
1100.0,9.967749974748585e-06
1200.0,9.861656963039422e-06
1300.0,7.808936516084941e-06
1400.0,7.60786701903271e-06
1500.0,6.163945954540395e-06
1600.0,5.8726595852931496e-06
1700.0,6.102337692936999e-06
1800.0,5.616282805931405e-06
1900.0,4.7266262299672235e-06
2000.0,4.2116103031730745e-06
2100.0,4.321037067711586e-06
2200.0,3.551573513504991e-06
2300.0,3.4963580901603564e-06
2400.0,3.2432354828415555e-06
2500.0,2.9700504455831833e-06
2600.0,2.8976340900044306e-06
2700.0,2.498822482266405e-06
2800.0,2.6233141170450835e-06
2900.0,2.390402983110107e-06
3000.0,2.7836259732794133e-06
3100.0,2.836974999809172e-06
3200.0,2.7063837251262157e-06
3300.0,2.9425037837427226e-06
3400.0,2.6874135983234737e-06
3500.0,2.9698849175474606e-06
3600.0,2.752219188550953e-06
3700.0,2.814923959704174e-06
3800.0,2.66908125468035e-06
3900.0,2.643088578224706e-06
4000.0,2.632081532283337e-06
4100.0,2.4198858454838046e-06
4200.0,2.4384362404816784e-06
4300.0,2.5036293891389505e-06
4400.0,2.0115211327720317e-06
4500.0,2.0053037133038742e-06
4600.0,1.977366764549515e-06
4700.0,2.3257674683918594e-06
4800.0,2.0276396526242024e-06
4900.0,1.945161898220249e-06
5000.0,1.7397605347468925e-06
5100.0,2.187081236115773e-06
5200.0,2.165504156437237e-06
5300.0,1.657944835642411e-06
5400.0,2.0884239120277925e-06
5500.0,1.6085783727248781e-06
5600.0,2.023840238507546e-06
5700.0,1.9266896629233088e-06
5800.0,2.139183038707415e-06
5900.0,1.9799737174253096e-06
6000.0,1.9946326119679725e-06
6100.0,1.819634007915738e-06
6200.0,1.9774657857851707e-06
6300.0,1.7864610413198534e-06
6400.0,1.974947167582286e-06
6500.0,1.8706333548834664e-06
6600.0,1.8590111494631856e-06
6700.0,1.821562420900591e-06
6800.0,1.9066962408942345e-06
6900.0,1.8547248714639863e-06
7000.0,1.7401599734512274e-06
7100.0,1.791515330751281e-06
7200.0,1.8150718688048073e-06
7300.0,1.5957347159201163e-06
7400.0,1.6629052765892993e-06
7500.0,1.7329386423625692e-06
7600.0,1.9535278852345073e-06
7700.0,1.776958185928379e-06
7800.0,1.7040616171470901e-06
7900.0,1.8231464196105662e-06
8000.0,1.662299325744243e-06
