step,value
100.0,0.01289484091103077
200.0,0.0028904771897941828
300.0,0.0008171237132046372
400.0,0.00026878529752139
500.0,0.00014249186642700806
600.0,6.333034252747893e-05
700.0,5.9361200328567065e-05
800.0,4.6117564124870114e-05
900.0,3.3894266380229965e-05
1000.0,2.7743039026972838e-05
1100.0,2.4973972358566243e-05
1200.0,1.8874298802984413e-05
1300.0,1.9378748220333364e-05
1400.0,1.83241108970833e-05
1500.0,1.5589408121741144e-05
1600.0,1.506702346887323e-05
1700.0,1.4335214473248925e-05
1800.0,1.479274260418606e-05
1900.0,1.362246302960557e-05
2000.0,1.2450163922039792e-05
2100.0,1.1366887974872952e-05
2200.0,9.756471627042629e-06
2300.0,7.5194507189735305e-06
2400.0,7.742368325125426e-06
2500.0,7.137771262932802e-06
2600.0,6.595618287974503e-06
2700.0,6.30660315437126e-06
2800.0,5.33714410266839e-06
2900.0,4.744746547657996e-06
3000.0,5.352203970687697e-06
3100.0,5.165932634554338e-06
3200.0,5.956048426014604e-06
3300.0,4.558703722068458e-06
3400.0,4.686569354817038e-06
3500.0,4.364191454442334e-06
3600.0,3.960689923587779e-06
3700.0,4.0578007656222326e-06
3800.0,3.6293993161962135e-06
3900.0,3.770340072151157e-06
4000.0,3.514087779876718e-06
4100.0,3.96925088352873e-06
4200.0,3.3825463106040843e-06
4300.0,3.1434828997589648e-06
4400.0,3.2125126381288283e-06
4500.0,3.682848500830005e-06
4600.0,2.9273709287735983e-06
4700.0,3.2830595273480867e-06
4800.0,3.216859909116465e-06
4900.0,3.0678307894049794e-06
5000.0,3.085098569499678e-06
5100.0,3.274230607530626e-06
5200.0,3.3324414516755496e-06
5300.0,3.2179293611989124e-06
5400.0,3.2191030641115503e-06
5500.0,3.346943344695319e-06
5600.0,2.9929492484370712e-06
5700.0,3.127555942228355e-06
5800.0,3.2564336152063333e-06
5900.0,3.1819795367482584e-06
6000.0,3.394645204934932e-06
6100.0,3.58762986252259e-06
6200.0,3.3476050020908588e-06
6300.0,3.15151521590451e-06
6400.0,3.1675775744588464e-06
6500.0,3.416085519347689e-06
6600.0,3.1688414310337976e-06
6700.0,3.272885351179866e-06
6800.0,3.1306153687182814e-06
6900.0,3.229079538868973e-06
7000.0,3.335920723657182e-06
7100.0,3.1718560649096617e-06
7200.0,3.120363089692546e-06
7300.0,2.9798013656545663e-06
7400.0,2.910341208917089e-06
7500.0,2.7942621727561345e-06
7600.0,2.727796299950569e-06
7700.0,2.7099601993541e-06
7800.0,2.7995453137918958e-06
7900.0,2.8803701752622146e-06
8000.0,2.7455872668724624e-06
