step,value
100.0,0.036928487941622734
200.0,0.009463791269809008
300.0,0.003467836999334395
400.0,0.0013928596745245159
500.0,0.0006637729238718748
600.0,0.0004123797989450395
700.0,0.0002963902079500258
800.0,0.00017145765013992786
900.0,0.00012162496568635106
1000.0,9.86316917988006e-05
1100.0,7.314529648283496e-05
1200.0,6.059958104742691e-05
1300.0,5.092792343930341e-05
1400.0,4.819772038899828e-05
1500.0,4.132169851800427e-05
1600.0,3.9100192225305364e-05
1700.0,3.70830821339041e-05
1800.0,3.526605178194586e-05
1900.0,3.333661879878491e-05
2000.0,3.061601637455169e-05
2100.0,2.9193101909186225e-05
2200.0,2.7835400032927282e-05
2300.0,2.267332729388727e-05
2400.0,2.056777066172799e-05
2500.0,1.7718219169182703e-05
2600.0,1.7591429241292644e-05
2700.0,1.783239895303268e-05
2800.0,1.779698777681915e-05
2900.0,1.7637189557717647e-05
3000.0,1.812654681998538e-05
3100.0,1.716769656923134e-05
3200.0,1.6513964510522783e-05
3300.0,1.6953346857917495e-05
3400.0,1.7291639778704848e-05
3500.0,1.6985444744932465e-05
3600.0,1.598457765794592e-05
3700.0,1.5689487554482184e-05
3800.0,1.4882512914482504e-05
3900.0,1.4258166629588231e-05
4000.0,1.388745840813499e-05
4100.0,1.3105530342727434e-05
4200.0,1.3101621334499214e-05
4300.0,1.206333718073438e-05
4400.0,1.2609458281076513e-05
4500.0,1.3222172583482461e-05
4600.0,1.2968807823199313e-05
4700.0,1.299312725677737e-05
4800.0,1.3599106296169339e-05
4900.0,1.3424119970295578e-05
5000.0,1.301804832110065e-05
5100.0,1.2600488844327629e-05
5200.0,1.1658743005682481e-05
5300.0,1.1137294677610043e-05
5400.0,1.1056315088353585e-05
5500.0,1.0785963240778074e-05
5600.0,1.065363085217541e-05
5700.0,1.0802088581840508e-05
5800.0,1.075729551303084e-05
5900.0,1.0426289463794092e-05
6000.0,1.0689987902878784e-05
6100.0,1.0721270882640965e-05
6200.0,1.0430342172185192e-05
6300.0,1.0966902209474938e-05
6400.0,1.0826549896592041e-05
6500.0,1.0689190276025329e-05
6600.0,1.0716369615693111e-05
6700.0,1.1147857549076434e-05
6800.0,1.1492349585751072e-05
6900.0,1.1408790214773035e-05
7000.0,1.1348043244652217e-05
7100.0,1.1530914889590349e-05
7200.0,1.14902863970201e-05
7300.0,1.1107817499578232e-05
7400.0,1.1337171599734575e-05
7500.0,1.1263879969192203e-05
7600.0,1.159855855803471e-05
7700.0,1.1642125173239037e-05
7800.0,1.1280497346888296e-05
7900.0,1.1058536074415315e-05
8000.0,1.0875118277908769e-05
