step,value
100.0,0.007604188984259963
200.0,0.0016943207010626793
300.0,0.0003432713565416634
400.0,0.00011176143379998393
500.0,8.483559577143751e-05
600.0,5.699767825717572e-05
700.0,4.1425864765187725e-05
800.0,3.085205935349222e-05
900.0,2.859934920707019e-05
1000.0,2.6781258384289686e-05
1100.0,2.2129884200694505e-05
1200.0,1.8548941625340376e-05
1300.0,1.904420423670672e-05
1400.0,1.8303373508388177e-05
1500.0,1.5992495718819555e-05
1600.0,1.5837075807212386e-05
1700.0,1.4335214473248925e-05
1800.0,1.4208642369339941e-05
1900.0,1.4800245025980985e-05
2000.0,1.3712530744669493e-05
2100.0,1.3460868558468064e-05
2200.0,1.2375939149933401e-05
2300.0,1.1808501767518464e-05
2400.0,9.68021095104632e-06
2500.0,8.045312370086322e-06
2600.0,7.541857030446408e-06
2700.0,6.337897730190889e-06
2800.0,5.923005801378167e-06
2900.0,6.064095714464202e-06
3000.0,6.18092053628061e-06
3100.0,6.213967935764231e-06
3200.0,5.7510296755936e-06
3300.0,5.424377604867914e-06
3400.0,5.629994802802685e-06
3500.0,5.984750032439479e-06
3600.0,5.799752216262277e-06
3700.0,5.600791837423458e-06
3800.0,5.489277555170702e-06
3900.0,5.6034562021523016e-06
4000.0,5.1618399083963595e-06
4100.0,4.8634658469381975e-06
4200.0,4.604179366651806e-06
4300.0,4.602975877787685e-06
4400.0,4.416265483087045e-06
4500.0,4.160265916652861e-06
4600.0,3.879091195813089e-06
4700.0,3.4301160667382646e-06
4800.0,2.9460828727678745e-06
4900.0,3.0406574751395965e-06
5000.0,2.842454250640003e-06
5100.0,2.9533226779676625e-06
5200.0,3.0258221386247897e-06
5300.0,2.704738676584384e-06
5400.0,2.6784333613250055e-06
5500.0,2.735502903306042e-06
5600.0,2.8533198701552465e-06
5700.0,2.824571311066393e-06
5800.0,2.816451797116315e-06
5900.0,2.811145350278821e-06
6000.0,2.605551344458945e-06
6100.0,2.6779874815474614e-06
6200.0,2.6563162691672915e-06
6300.0,2.595757564449741e-06
6400.0,2.466257001287886e-06
6500.0,2.4490483383488026e-06
6600.0,2.4080535467874142e-06
6700.0,2.426557898616011e-06
6800.0,2.4934108751040185e-06
6900.0,2.461220788063656e-06
7000.0,2.448782311148534e-06
7100.0,2.4526559627702227e-06
7200.0,2.5337536726510734e-06
7300.0,2.473495214871946e-06
7400.0,2.4362550448131515e-06
7500.0,2.452364583405142e-06
7600.0,2.5750745180630474e-06
7700.0,2.529606263124151e-06
7800.0,2.4559125222367584e-06
7900.0,2.165206751669757e-06
8000.0,2.343279788874497e-06
