step,value
100.0,0.008336776867508888
200.0,0.0022078565089032054
300.0,0.0004610490577761084
400.0,0.0001443195214960724
500.0,9.291079186368734e-05
600.0,6.314094935078174e-05
700.0,5.774828423454892e-05
800.0,4.838737913814839e-05
900.0,3.908837970811874e-05
1000.0,2.9961113796161953e-05
1100.0,2.2405102754419204e-05
1200.0,1.6308786143781617e-05
1300.0,1.3748327546636574e-05
1400.0,1.3108471648592968e-05
1500.0,1.2446799246390583e-05
1600.0,1.118580621550791e-05
1700.0,1.0405379725852981e-05
1800.0,1.0304996067134198e-05
1900.0,8.979618542070966e-06
2000.0,8.508168320986442e-06
2100.0,9.521323590888642e-06
2200.0,8.012892521946924e-06
2300.0,7.409166528304922e-06
2400.0,6.647882401011884e-06
2500.0,6.395706805051304e-06
2600.0,6.224074013516656e-06
2700.0,5.656524081132375e-06
2800.0,5.216006229602499e-06
2900.0,4.8412180149171036e-06
3000.0,5.232415333011886e-06
3100.0,5.293131380312843e-06
3200.0,4.6885593292245176e-06
3300.0,4.536462711257627e-06
3400.0,4.230603508403874e-06
3500.0,4.594542133418145e-06
3600.0,4.352393489170936e-06
3700.0,4.299771717342082e-06
3800.0,4.821794163945015e-06
3900.0,4.893720188192674e-06
4000.0,3.989320248365402e-06
4100.0,4.506586492425413e-06
4200.0,4.010113570984686e-06
4300.0,4.115266392545891e-06
4400.0,3.746199922716187e-06
4500.0,3.5498503621056443e-06
4600.0,3.4518301390562556e-06
4700.0,3.683081331473659e-06
4800.0,2.9896833666498424e-06
4900.0,3.0804301331954775e-06
5000.0,2.980595354529214e-06
5100.0,2.994974579451082e-06
5200.0,3.3744823895176523e-06
5300.0,3.0009157399035757e-06
5400.0,2.731960535129474e-06
5500.0,2.5564845600456465e-06
5600.0,2.9477429279722855e-06
5700.0,2.819700853251561e-06
5800.0,3.0703664606335224e-06
5900.0,2.991600013046991e-06
6000.0,2.892974748647248e-06
6100.0,3.0359803986357292e-06
6200.0,2.8266974823054625e-06
6300.0,2.671636138984468e-06
6400.0,2.9898149023210863e-06
6500.0,3.0817581091469037e-06
6600.0,2.707543899305165e-06
6700.0,2.7699765041688806e-06
6800.0,2.773469645944715e-06
6900.0,2.6612847250362393e-06
7000.0,2.7684476435752003e-06
7100.0,2.6806875439433497e-06
7200.0,2.594921284071461e-06
7300.0,2.404172050773923e-06
7400.0,2.4129441271725227e-06
7500.0,2.444219148856064e-06
7600.0,2.5750745180630474e-06
7700.0,2.4574940198363038e-06
7800.0,2.147078362213506e-06
7900.0,2.1121403506185743e-06
8000.0,2.043412337116024e-06
