step,value
100.0,0.001017453265376389
200.0,0.0001194840733660385
300.0,6.416054020519368e-05
400.0,4.2305740862502716e-05
500.0,4.1463728848611936e-05
600.0,3.284956437710207e-05
700.0,2.4141425456036814e-05
800.0,1.997946856135968e-05
900.0,1.8411574274068698e-05
1000.0,1.6729194612707943e-05
1100.0,1.3785574992652982e-05
1200.0,1.3150895938451868e-05
1300.0,1.0523432138143107e-05
1400.0,9.790189778868807e-06
1500.0,1.0392254353064345e-05
1600.0,9.872821010503685e-06
1700.0,8.526623787474819e-06
1800.0,9.574405794410268e-06
1900.0,9.447846423427109e-06
2000.0,8.788319064478856e-06
2100.0,9.745378974912455e-06
2200.0,9.291758942708839e-06
2300.0,7.275761163327843e-06
2400.0,6.638699460381758e-06
2500.0,6.316897497526952e-06
2600.0,5.993802005832549e-06
2700.0,5.392246748670004e-06
2800.0,5.151054665475385e-06
2900.0,4.9111790758615825e-06
3000.0,5.055688689026283e-06
3100.0,4.991408104615402e-06
3200.0,4.80965968563396e-06
3300.0,4.4345481455820845e-06
3400.0,4.2701619804574875e-06
3500.0,4.644451109925285e-06
3600.0,4.380918198876316e-06
3700.0,4.430442231750931e-06
3800.0,5.228384679867304e-06
3900.0,4.40185021943762e-06
4000.0,4.826589247386437e-06
4100.0,4.138969416089822e-06
4200.0,4.432249625097029e-06
4300.0,4.081013230461394e-06
4400.0,4.005283471997245e-06
4500.0,4.0422251004201826e-06
4600.0,3.588444997149054e-06
4700.0,3.502537083477364e-06
4800.0,3.0524661269737408e-06
4900.0,3.0735126301806304e-06
5000.0,2.9871316655771807e-06
5100.0,3.0955986858316464e-06
5200.0,3.0984756449470297e-06
5300.0,2.84192697108665e-06
5400.0,3.0344463084475137e-06
5500.0,2.6823133794096066e-06
5600.0,2.7349154834155343e-06
5700.0,2.594413558654196e-06
5800.0,2.816451797116315e-06
5900.0,2.8193105663376627e-06
6000.0,2.7744091539716464e-06
6100.0,2.776841256491025e-06
6200.0,2.8472693429648643e-06
6300.0,2.7022290396416793e-06
6400.0,2.778251882773475e-06
6500.0,2.7006271920981817e-06
6600.0,2.6755033104564063e-06
6700.0,2.697796503525751e-06
6800.0,2.6700251964939525e-06
6900.0,2.5923968678398523e-06
7000.0,2.5385726303284173e-06
7100.0,2.5149277007585624e-06
7200.0,2.682378521967621e-06
7300.0,2.629634082040866e-06
7400.0,2.8591896352736512e-06
7500.0,2.8699167842205497e-06
7600.0,2.7042259489462595e-06
7700.0,2.7888964950761874e-06
7800.0,2.607572810120473e-06
7900.0,2.527386413930799e-06
8000.0,2.486919015609601e-06
