step,value
100.0,0.015788672491908073
200.0,0.004960112040862441
300.0,0.0018273541936650872
400.0,0.0007676703680772334
500.0,0.0003405869356356561
600.0,0.00019562523084459826
700.0,0.00010691686111385934
800.0,6.67604326736182e-05
900.0,6.586797462659888e-05
1000.0,4.533367064141203e-05
1100.0,3.81570789613761e-05
1200.0,2.9739887395408005e-05
1300.0,2.500805294403108e-05
1400.0,2.027774644375313e-05
1500.0,1.8158269995183218e-05
1600.0,1.6039439287851565e-05
1700.0,1.4803079920966411e-05
1800.0,1.3814214526064461e-05
1900.0,1.2353418696875451e-05
2000.0,9.79252490651561e-06
2100.0,1.0915144684986444e-05
2200.0,9.457440683036111e-06
2300.0,8.270983016700484e-06
2400.0,6.407373575711972e-06
2500.0,6.387588655343279e-06
2600.0,5.302907311488525e-06
2700.0,4.719056732938043e-06
2800.0,4.28219277637254e-06
2900.0,4.1338871596963145e-06
3000.0,4.396089934743941e-06
3100.0,4.451704398888978e-06
3200.0,3.8531163681909675e-06
3300.0,3.6976888395656715e-06
3400.0,4.077949597558472e-06
3500.0,3.606314066928462e-06
3600.0,3.3524419222885626e-06
3700.0,3.3062561897168052e-06
3800.0,3.796166083702701e-06
3900.0,3.603518280215212e-06
4000.0,3.2923527442108025e-06
4100.0,3.6468258031163714e-06
4200.0,3.316280412946071e-06
4300.0,3.252385113228229e-06
4400.0,3.0823708812022232e-06
4500.0,3.0093231089267647e-06
4600.0,2.942213200185506e-06
4700.0,2.9784857815684518e-06
4800.0,2.4560704332543537e-06
4900.0,2.159337441298703e-06
5000.0,2.145633061445551e-06
5100.0,2.0940306058037095e-06
5200.0,2.494374371053709e-06
5300.0,2.1207300733294687e-06
5400.0,2.0884239120277925e-06
5500.0,2.0715132222903776e-06
5600.0,2.190323471040756e-06
5700.0,2.1379071313276654e-06
5800.0,2.609032776490494e-06
5900.0,2.3972738745214883e-06
6000.0,2.5915342121152207e-06
6100.0,2.4582508331150166e-06
6200.0,2.3417180727847153e-06
6300.0,2.110455056936189e-06
6400.0,2.585957190603949e-06
6500.0,2.5381491468579043e-06
6600.0,2.2806722199675278e-06
6700.0,2.5599541686460725e-06
6800.0,2.394474222455756e-06
6900.0,2.1827972886967473e-06
7000.0,2.4082424943117076e-06
7100.0,2.4161805640687817e-06
7200.0,2.4197069024012308e-06
7300.0,2.4190879912566743e-06
7400.0,2.3156899260357022e-06
7500.0,2.4539465357520385e-06
7600.0,2.3044148065309855e-06
7700.0,2.359346467528667e-06
7800.0,2.3670038444834063e-06
7900.0,2.200857579737203e-06
8000.0,2.021276486630086e-06
